file,animal,band0,band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23,band24
audio-dataset/cats_dogs/dog_barking_36.wav,0,-1.5758765791149927,-7.764390064177218,-23.775147236718443,-28.672779778122578,-40.414750494603624,-33.42856390572759,-44.445413018588894,-44.72447717220753,-44.344235089360446,-40.1070752258867,-44.173770718502276,-44.93448444413932,-44.938880920410156,-44.938880920410156,-44.938880920410156,-44.938880920410156,-44.938880920410156,-44.938880920410156,-44.938880920410156,-44.938880920410156,-44.938880920410156,-44.938880920410156,-44.938880920410156,-44.938880920410156,-44.938880920410156
audio-dataset/cats_dogs/cat_35.wav,1,-7.05109934204391,-9.681575216209557,-10.714801971649,-16.273194171255053,-24.644954304438144,-26.07070225415756,-29.177132120951157,-29.33031894817201,-28.44295122241192,-29.566685852725804,-37.179436173194496,-50.49090875448325,-51.37296676635742,-51.37296676635742,-51.37296676635742,-51.37296676635742,-51.37296676635742,-51.37296676635742,-51.37296676635742,-51.37296676635742,-51.37296676635742,-51.37296676635742,-51.37296676635742,-51.37296676635742,-51.37296676635742
audio-dataset/cats_dogs/dog_barking_22.wav,0,-28.288425235707187,-16.602949880614297,-17.872726388162693,-13.836182726597078,-14.955749140372294,-16.72863174132737,-19.857120255245185,-22.13843001379985,-26.464921129795748,-29.993626118788445,-34.276301472908116,-42.6712043737543,-43.73347091674805,-43.73347091674805,-43.73347091674805,-43.73347091674805,-43.73347091674805,-43.73347091674805,-43.73347091674805,-43.73347091674805,-43.73347091674805,-43.73347091674805,-43.73347091674805,-43.73347091674805,-43.73347091674805
audio-dataset/cats_dogs/dog_barking_2.wav,0,-13.029831310920168,-19.390456444268,-30.658839677071768,-34.33531758651944,-36.59209580306369,-37.19930747189864,-37.965143978883546,-39.0537173145517,-39.86933829754554,-41.18981949080769,-43.85303676595376,-46.054272818259705,-46.077632904052734,-46.077632904052734,-46.077632904052734,-46.077632904052734,-46.077632904052734,-46.077632904052734,-46.077632904052734,-46.077632904052734,-46.077632904052734,-46.077632904052734,-46.077632904052734,-46.077632904052734,-46.077632904052734
audio-dataset/cats_dogs/cat_167.wav,1,-27.948289625114136,-26.605007427132715,-29.0873486683985,-29.41488047856465,-30.664513422756137,-31.47490495188312,-32.529846589255406,-34.09619360761387,-35.241788282082034,-35.32464306507843,-37.095374102303346,-40.63353457325889,-40.89731216430664,-40.89731216430664,-40.89731216430664,-40.89731216430664,-40.89731216430664,-40.89731216430664,-40.89731216430664,-40.89731216430664,-40.89731216430664,-40.89731216430664,-40.89731216430664,-40.89731216430664,-40.89731216430664
audio-dataset/cats_dogs/cat_166.wav,1,-33.91794998686552,-32.682010924147356,-34.320246980220894,-34.649879456122875,-35.11470518231821,-35.21729398652538,-35.838007963894846,-36.28710117995736,-37.08460143779342,-37.15879305103492,-38.36452941700962,-40.83685635742567,-41.008113861083984,-41.008113861083984,-41.008113861083984,-41.008113861083984,-41.008113861083984,-41.008113861083984,-41.008113861083984,-41.008113861083984,-41.008113861083984,-41.008113861083984,-41.008113861083984,-41.008113861083984,-41.008113861083984
audio-dataset/cats_dogs/dog_barking_3.wav,0,-5.831394043229421,-12.262860490287595,-17.944556499726176,-21.49785260360657,-22.217021092228144,-24.18389328179306,-24.116580804356964,-24.195226543823406,-24.977573976894462,-26.736139976924797,-32.115089161380965,-41.984210240502726,-42.65888595581055,-42.65888595581055,-42.65888595581055,-42.65888595581055,-42.65888595581055,-42.65888595581055,-42.65888595581055,-42.65888595581055,-42.65888595581055,-42.65888595581055,-42.65888595581055,-42.65888595581055,-42.65888595581055
audio-dataset/cats_dogs/dog_barking_23.wav,0,-16.68624707762464,-22.0081507545056,-30.463016749434594,-35.0830954112236,-36.10572895321561,-37.620766743725426,-38.30706863588931,-38.06360523435805,-38.68418644872823,-39.426023633632454,-40.5115259655735,-41.11247318634513,-41.11253356933594,-41.11253356933594,-41.11253356933594,-41.11253356933594,-41.11253356933594,-41.11253356933594,-41.11253356933594,-41.11253356933594,-41.11253356933594,-41.11253356933594,-41.11253356933594,-41.11253356933594,-41.11253356933594
audio-dataset/cats_dogs/cat_34.wav,1,-10.548133451182647,-11.371231608498402,-23.361228449675213,-27.673081333646824,-36.649305485796766,-34.86050376797806,-33.30531198875324,-37.47735287572116,-36.76898102290381,-34.02333645872627,-38.964259838071854,-43.04078069282255,-43.15639114379883,-43.15639114379883,-43.15639114379883,-43.15639114379883,-43.15639114379883,-43.15639114379883,-43.15639114379883,-43.15639114379883,-43.15639114379883,-43.15639114379883,-43.15639114379883,-43.15639114379883,-43.15639114379883
audio-dataset/cats_dogs/dog_barking_37.wav,0,-3.485519878787703,-7.831401168559687,-29.18731618598021,-30.16230874300405,-41.90857817159314,-37.47072968160358,-45.694133914574834,-45.75795323824313,-44.90540586489692,-41.98111980336868,-45.306944106354784,-46.553128809380986,-46.567047119140625,-46.567047119140625,-46.567047119140625,-46.567047119140625,-46.567047119140625,-46.567047119140625,-46.567047119140625,-46.567047119140625,-46.567047119140625,-46.567047119140625,-46.567047119140625,-46.567047119140625,-46.567047119140625
audio-dataset/cats_dogs/cat_20.wav,1,-4.623838037062281,-6.0865039442818665,-7.619590196352076,-12.798194087289392,-16.24469068019272,-21.99140262249378,-26.998305472152577,-28.326037544990605,-29.8668702773395,-29.318709815087324,-33.07101121633281,-44.482157114479286,-44.90229797363281,-44.90229797363281,-44.90229797363281,-44.90229797363281,-44.90229797363281,-44.90229797363281,-44.90229797363281,-44.90229797363281,-44.90229797363281,-44.90229797363281,-44.90229797363281,-44.90229797363281,-44.90229797363281
audio-dataset/cats_dogs/cat_18.wav,1,-15.212252407038411,-4.4542589075178105,-13.07989324916467,-25.195077620857077,-25.95725624093955,-38.18002014581294,-41.200398459353224,-41.265343897270434,-41.26788190123323,-41.12651236955222,-41.267974853515625,-41.267974853515625,-41.267974853515625,-41.267974853515625,-41.267974853515625,-41.267974853515625,-41.267974853515625,-41.267974853515625,-41.267974853515625,-41.267974853515625,-41.267974853515625,-41.267974853515625,-41.267974853515625,-41.267974853515625,-41.267974853515625
audio-dataset/cats_dogs/cat_24.wav,1,14.841674591584777,0.8098052326602694,-0.8724900762077331,-6.039401649226808,-13.552258425480707,-13.653151669537406,-16.65944600822695,-23.134751642467926,-28.020429493306757,-30.85815696991407,-37.17416545060964,-43.36001463425465,-43.37337112426758,-43.37337112426758,-43.37337112426758,-43.37337112426758,-43.37337112426758,-43.37337112426758,-43.37337112426758,-43.37337112426758,-43.37337112426758,-43.37337112426758,-43.37337112426758,-43.37337112426758,-43.37337112426758
audio-dataset/cats_dogs/dog_barking_33.wav,0,-5.162107272710385,-9.46502642746822,-29.133537264705893,-31.634034406124172,-41.97065675437403,-40.59647942733469,-44.559149410771695,-45.71912328485857,-43.666469271021676,-42.61950204560632,-46.0164489288602,-47.03108967971383,-47.12285614013672,-47.12285614013672,-47.12285614013672,-47.12285614013672,-47.12285614013672,-47.12285614013672,-47.12285614013672,-47.12285614013672,-47.12285614013672,-47.12285614013672,-47.12285614013672,-47.12285614013672,-47.12285614013672
audio-dataset/cats_dogs/cat_30.wav,1,-2.564729296396686,-2.3330189305544247,-9.839679009455566,-18.88549360261557,-22.098912330088893,-23.01337366581984,-25.910171088431262,-27.585210293095738,-29.311626553193463,-32.23145308548423,-37.324010524315035,-42.750747289582876,-42.79840087890625,-42.79840087890625,-42.79840087890625,-42.79840087890625,-42.79840087890625,-42.79840087890625,-42.79840087890625,-42.79840087890625,-42.79840087890625,-42.79840087890625,-42.79840087890625,-42.79840087890625,-42.79840087890625
audio-dataset/cats_dogs/dog_barking_27.wav,0,0.34077169189113193,2.423021425287152,-5.439793029967524,-16.031809652586364,-20.229722269080572,-21.01881663494586,-19.89004301621003,-21.085183214299224,-24.669643163359847,-25.82034064412554,-29.497214802366216,-38.40611236356199,-39.25287628173828,-39.25287628173828,-39.25287628173828,-39.25287628173828,-39.25287628173828,-39.25287628173828,-39.25287628173828,-39.25287628173828,-39.25287628173828,-39.25287628173828,-39.25287628173828,-39.25287628173828,-39.25287628173828
audio-dataset/cats_dogs/dog_barking_7.wav,0,-11.573709202512706,-8.89902600131219,-12.394436028568052,-15.636296819231815,-18.380678879567494,-19.327837235350042,-25.04663670408107,-28.74462338241985,-30.940114765521454,-27.989923196771496,-32.31650386595478,-37.15883325466088,-37.349212646484375,-37.349212646484375,-37.349212646484375,-37.349212646484375,-37.349212646484375,-37.349212646484375,-37.349212646484375,-37.349212646484375,-37.349212646484375,-37.349212646484375,-37.349212646484375,-37.349212646484375,-37.349212646484375
audio-dataset/cats_dogs/cat_162.wav,1,-14.5174013723233,-20.299803689957923,-20.83264592384802,-17.897581185879396,-22.110296020652843,-20.687301505477798,-20.50036271773405,-22.358774121054633,-22.834575107347348,-23.62604845117312,-27.26781280696947,-32.08405262999462,-32.300498962402344,-32.300498962402344,-32.300498962402344,-32.300498962402344,-32.300498962402344,-32.300498962402344,-32.300498962402344,-32.300498962402344,-32.300498962402344,-32.300498962402344,-32.300498962402344,-32.300498962402344,-32.300498962402344
